id,created_date,modified_date,is_active,refitems_name,refitems_code,is_systemdata,refitems_desc,created_by_id,modified_by_id,refitems_category_id
73,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Sister-In-Law,STRLA,f,Sister-In-Law,1,1,16
74,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Brother-In-Law,BRTLA,f,Brother-In-Law,1,1,16
75,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Son-In-Law,SONLA,f,Son-In-Law,1,1,16
76,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Daughter-In-Law,DTRLA,f,Daughter-In-Law,1,1,16
77,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,GrandMother,GRDMA,f,GrandMother,1,1,16
78,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,GrandFather,GRDFA,f,GrandFather,1,1,16
79,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Uncle,MOTHR,f,Uncle,1,1,16
80,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Aunt,AUNTY,f,Aunt,1,1,16
81,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Nephew,NEPHW,f,Nephew,1,1,16
82,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Niece,NIECE,f,Niece,1,1,16
83,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Others,OTHER,f,Others,1,1,16
84,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Associate of Applied Science,ASAPS,f,Associate of Applied Science,1,1,17
85,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Bachelor of Arts,BAART,f,Bachelor of Arts,1,1,17
86,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Bachelor of Science,BASCI,f,Bachelor of Science,1,1,17
87,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Bachelor of Engineering,BENGG,f,Bachelor of Engineering,1,1,17
88,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Bachelor of Liberal Arts,BALAR,f,Bachelor of Liberal Arts,1,1,17
89,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Doctor of Philosophy,PHDDD,f,Doctor of Philosophy,1,1,17
90,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Master of Arts,MARTS,f,Master of Arts,1,1,17
91,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Master of Science,MSCIN,f,Master of Science,1,1,17
