id,created_date,modified_date,is_active,kpo_statement,kpo_outcome,kpo_target_date,kpo_performance_std,kpo_plan,created_by_id,kpo_role_id,modified_by_id
41,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Develop and document detailed architectures for mobile solutions on iOS, Android",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,8,1
42,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Enforce sound development practices and ensure the quality delivery of enterprise mobile solutions ,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,8,1
43,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Work closely with Project Managers, Senior Business Analysts, and UX teams ",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,8,1
44,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Collaborate with cross-functional teams to define, design, and ship new features",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,8,1
45,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Take ownership of the solution from end to end, and be responsible for translating functional requirements into a mobile solution",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,8,1
46,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Lead and mentor development teams   ,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,8,1
47,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Understanding of mobile security protocols, analytics and social channel integration.",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,8,1
48,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Defining the overall technical architecture for the mobile application that is envisioned with the customer,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,8,1
49,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Experience in developing reusable artifacts/frameworks, re-usable assets, Industry solutions, reference architecture, design, development and QA best practice",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,8,1
50,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Escalation Handling and Mentoring,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,8,1
51,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Team Handling,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,8,1
52,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Ensure the best possible performance, quality, and responsiveness of the application",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,9,1
53,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Efficient project planning and execution,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,9,1
54,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Identify and correct bottlenecks and fix bugs,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,9,1
55,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Help maintain code quality, organization standards and automization",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,9,1
56,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Collaborate with a team to define, design, and ship new features",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,9,1
57,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,stay up to date on the latest technology updates and provide effective solutions,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,9,1
58,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Escalation Handling and Mentoring,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,9,1
59,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Team Handling,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,9,1
60,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Ensure the best possible performance, quality, and responsiveness of the application",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,10,1
61,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Efficient project planning and execution,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,10,1
62,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Identify and correct bottlenecks and fix bugs,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,10,1
63,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Help maintain code quality, organization standards and automization",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,10,1
64,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Collaborate with a team to define, design, and ship new features",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,10,1
65,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,stay up to date on the latest technology updates and provide effective solutions,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,10,1
66,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Escalation Handling and Mentoring,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,10,1
